route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,non_revenue_trip,bikes_allowed
vilnius_nightbus_N4,456457,AN4-02-5-250614-a1b1-2430,"Pašilaičiai (Gabijos progimnazija)",0,AN4-02-5-250614-2440006,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-03-5-250614-a1b1-2500,"Pašilaičiai (Gabijos progimnazija)",0,AN4-03-5-250614-2440007,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-01-5-250614-a1b1-2530,"Pašilaičiai (Gabijos progimnazija)",0,AN4-01-5-250614-2440005,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-02-5-250614-a1b1-2600,"Pašilaičiai (Gabijos progimnazija)",0,AN4-02-5-250614-2440006,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-03-5-250614-a1b1-2630,"Pašilaičiai (Gabijos progimnazija)",0,AN4-03-5-250614-2440007,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-01-5-250614-a1b1-2700,"Pašilaičiai (Gabijos progimnazija)",0,AN4-01-5-250614-2440005,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-02-5-250614-a1b1-2730,"Pašilaičiai (Gabijos progimnazija)",0,AN4-02-5-250614-2440006,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-03-5-250614-a1b1-2800,"Pašilaičiai (Gabijos progimnazija)",0,AN4-03-5-250614-2440007,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
vilnius_nightbus_N4,456457,AN4-01-5-250614-b1a1-2450,"Centras",1,AN4-01-5-250614-2440005,vilnius_nightbus_N4_b1-a1,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus–Kalvarijų g.–Centras",0,0
vilnius_nightbus_N4,456457,AN4-02-5-250614-b1a1-2520,"Centras",1,AN4-02-5-250614-2440006,vilnius_nightbus_N4_b1-a1,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus–Kalvarijų g.–Centras",0,0
vilnius_nightbus_N4,456457,AN4-03-5-250614-b1a1-2550,"Centras",1,AN4-03-5-250614-2440007,vilnius_nightbus_N4_b1-a1,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus–Kalvarijų g.–Centras",0,0
vilnius_nightbus_N4,456457,AN4-01-5-250614-b1a1-2620,"Centras",1,AN4-01-5-250614-2440005,vilnius_nightbus_N4_b1-a1,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus–Kalvarijų g.–Centras",0,0
vilnius_nightbus_N4,456457,AN4-02-5-250614-b1a1-2650,"Centras",1,AN4-02-5-250614-2440006,vilnius_nightbus_N4_b1-a1,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus–Kalvarijų g.–Centras",0,0
vilnius_nightbus_N4,456457,AN4-03-5-250614-b1a1-2720,"Centras",1,AN4-03-5-250614-2440007,vilnius_nightbus_N4_b1-a1,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus–Kalvarijų g.–Centras",0,0
vilnius_nightbus_N4,456457,AN4-01-5-250614-bd-2740,"Autobusų parkas (Verkių g.)",1,AN4-01-5-250614-2440005,vilnius_nightbus_N4_b-d,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N4,456457,AN4-02-5-250614-bd-2810,"Autobusų parkas (Verkių g.)",1,AN4-02-5-250614-2440006,vilnius_nightbus_N4_b-d,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N4,456457,AN4-03-5-250614-bd-2840,"Autobusų parkas (Verkių g.)",1,AN4-03-5-250614-2440007,vilnius_nightbus_N4_b-d,1,"Pašilaičiai (Gabijos progimnazija)–S. Stanevičiaus g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N4,456457,AN4-01-5-250614-d1a1-2340,"Centras",0,AN4-01-5-250614-2440005,vilnius_nightbus_N4_d1-a1,1,"Autobusų parkas (Verkių g.)–Žvalgų–Kalvarijų g.–Centras",1,0
vilnius_nightbus_N4,456457,AN4-02-5-250614-d1a1-2410,"Centras",0,AN4-02-5-250614-2440006,vilnius_nightbus_N4_d1-a1,1,"Autobusų parkas (Verkių g.)–Žvalgų–Kalvarijų g.–Centras",1,0
vilnius_nightbus_N4,456457,AN4-03-5-250614-d1a1-2440,"Centras",0,AN4-03-5-250614-2440007,vilnius_nightbus_N4_d1-a1,1,"Autobusų parkas (Verkių g.)–Žvalgų–Kalvarijų g.–Centras",1,0
vilnius_nightbus_N5,450718,AN5-01-5-250425-ab-2400,"Naujoji Vilnia",0,AN5-01-5-250425-2407046,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-02-5-250425-ab-2430,"Naujoji Vilnia",0,AN5-02-5-250425-2407047,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-03-5-250425-ab-2500,"Naujoji Vilnia",0,AN5-03-5-250425-2407048,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-01-5-250425-ab-2530,"Naujoji Vilnia",0,AN5-01-5-250425-2407046,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-02-5-250425-ab-2600,"Naujoji Vilnia",0,AN5-02-5-250425-2407047,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-03-5-250425-ab-2630,"Naujoji Vilnia",0,AN5-03-5-250425-2407048,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-01-5-250425-ab-2700,"Naujoji Vilnia",0,AN5-01-5-250425-2407046,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-02-5-250425-ab-2730,"Naujoji Vilnia",0,AN5-02-5-250425-2407047,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-03-5-250425-ab-2800,"Naujoji Vilnia",0,AN5-03-5-250425-2407048,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia",0,0
vilnius_nightbus_N5,450718,AN5-01-5-250425-ba-2450,"Centras",1,AN5-01-5-250425-2407046,vilnius_nightbus_N5_b-a,1,"Naujoji Vilnia–Pavilnys–Markučiai–Centras",0,0
vilnius_nightbus_N5,450718,AN5-02-5-250425-ba-2520,"Centras",1,AN5-02-5-250425-2407047,vilnius_nightbus_N5_b-a,1,"Naujoji Vilnia–Pavilnys–Markučiai–Centras",0,0
vilnius_nightbus_N5,450718,AN5-03-5-250425-ba-2550,"Centras",1,AN5-03-5-250425-2407048,vilnius_nightbus_N5_b-a,1,"Naujoji Vilnia–Pavilnys–Markučiai–Centras",0,0
vilnius_nightbus_N5,450718,AN5-01-5-250425-ba-2620,"Centras",1,AN5-01-5-250425-2407046,vilnius_nightbus_N5_b-a,1,"Naujoji Vilnia–Pavilnys–Markučiai–Centras",0,0
vilnius_nightbus_N5,450718,AN5-02-5-250425-ba-2650,"Centras",1,AN5-02-5-250425-2407047,vilnius_nightbus_N5_b-a,1,"Naujoji Vilnia–Pavilnys–Markučiai–Centras",0,0
vilnius_nightbus_N5,450718,AN5-03-5-250425-ba-2720,"Centras",1,AN5-03-5-250425-2407048,vilnius_nightbus_N5_b-a,1,"Naujoji Vilnia–Pavilnys–Markučiai–Centras",0,0
vilnius_nightbus_N5,450718,AN5-01-5-250425-bd-2740,"Autobusų parkas (Verkių g.)",1,AN5-01-5-250425-2407046,vilnius_nightbus_N5_b-d,1,"Parko–Stepono Batoro–Žirmūnų g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N5,450718,AN5-02-5-250425-bd-2810,"Autobusų parkas (Verkių g.)",1,AN5-02-5-250425-2407047,vilnius_nightbus_N5_b-d,1,"Parko–Stepono Batoro–Žirmūnų g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N5,450718,AN5-03-5-250425-bd-2840,"Autobusų parkas (Verkių g.)",1,AN5-03-5-250425-2407048,vilnius_nightbus_N5_b-d,1,"Parko–Stepono Batoro–Žirmūnų g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N5,450718,AN5-01-5-250425-da-2340,"Centras",0,AN5-01-5-250425-2407046,vilnius_nightbus_N5_d-a,1,"Autobusų parkas (Verkių g.)–Kalvarijų g.–Centras",1,0
vilnius_nightbus_N5,450718,AN5-02-5-250425-da-2410,"Centras",0,AN5-02-5-250425-2407047,vilnius_nightbus_N5_d-a,1,"Autobusų parkas (Verkių g.)–Kalvarijų g.–Centras",1,0
vilnius_nightbus_N5,450718,AN5-03-5-250425-da-2440,"Centras",0,AN5-03-5-250425-2407048,vilnius_nightbus_N5_d-a,1,"Autobusų parkas (Verkių g.)–Kalvarijų g.–Centras",1,0
vilnius_nightbus_N6,456591,AN6-01-5-250614-ab-2400,"Bajorų kalvos",0,AN6-01-5-250614-2440868,vilnius_nightbus_N6_a-b,1,"Centras–Šeškinė–Pašilaičiai–Bajorų kalvos",0,0
vilnius_nightbus_N6,456591,AN6-02-5-250614-ab-2430,"Bajorų kalvos",0,AN6-02-5-250614-2440869,vilnius_nightbus_N6_a-b,1,"Centras–Šeškinė–Pašilaičiai–Bajorų kalvos",0,0
