stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
17252,1050,"Mažieji Pupojai","link miesto",54.70770,25.40045,https://www.stops.lt/vilnius/index.html#stop/1050,,
17253,1051,"Mažieji Pupojai","iš centro",54.70762,25.40079,https://www.stops.lt/vilnius/index.html#stop/1051,,
17256,1054,"Šiaurės Sodai","iš centro",54.70877,25.40521,https://www.stops.lt/vilnius/index.html#stop/1054,,
17258,1056,"Šiaurės Sodai","į centrą",54.70883,25.40502,https://www.stops.lt/vilnius/index.html#stop/1056,,
9568,2726,"Miškinių sodai","link miesto",54.58885,25.23720,https://www.stops.lt/vilnius/index.html#stop/2726,,
9570,2727,"Miškinių sodai","iš miesto",54.58993,25.23454,https://www.stops.lt/vilnius/index.html#stop/2727,,
939,0530b,"Stotis","""B"" stotelė",54.67110,25.28443,https://www.stops.lt/vilnius/index.html#stop/0530b,,
3590,0530d,"Stotis","""D"" stotelė",54.67106,25.28399,https://www.stops.lt/vilnius/index.html#stop/0530d,,
3617,0530g,"Stotis","""G"" stotelė",54.67085,25.28336,https://www.stops.lt/vilnius/index.html#stop/0530g,,
4266,0530c,"Stotis","""C"" stotelė",54.67108,25.28420,https://www.stops.lt/vilnius/index.html#stop/0530c,,
5156,0530j,"Stotis","""J"" stotelė",54.67025,25.28349,https://www.stops.lt/vilnius/index.html#stop/0530j,,
5300,0530a,"Stotis","""A"" stotelė",54.67071,25.28490,https://www.stops.lt/vilnius/index.html#stop/0530a,,
7914,0530h,"Stotis","""H"" stotelė",54.67077,25.28326,https://www.stops.lt/vilnius/index.html#stop/0530h,,
5524,0501,"Algirdo st.","iš centro",54.68197,25.26820,https://www.stops.lt/vilnius/index.html#stop/0501,,
6840,0502,"Algirdo st.","link centro",54.68145,25.26640,https://www.stops.lt/vilnius/index.html#stop/0502,,
5160,0415,"Aguonų st.","link stoties",54.67263,25.27852,https://www.stops.lt/vilnius/index.html#stop/0415,,
6650,0414,"Aguonų st.","iš stoties",54.67284,25.27736,https://www.stops.lt/vilnius/index.html#stop/0414,,
6362,0517,"Naujamiestis","iš stoties",54.67043,25.26121,https://www.stops.lt/vilnius/index.html#stop/0517,,
6363,0518,"Naujamiestis","link stoties",54.67049,25.26260,https://www.stops.lt/vilnius/index.html#stop/0518,,
5166,0521,"Vienaragių st.","link stoties",54.67191,25.27022,https://www.stops.lt/vilnius/index.html#stop/0521,,
5167,0519,"Vienaragių st.","iš centro",54.67180,25.26847,https://www.stops.lt/vilnius/index.html#stop/0519,,
5655,0516,"Naugarduko st.","link centro",54.67042,25.25985,https://www.stops.lt/vilnius/index.html#stop/0516,,
5645,0512,"Švitrigailos st.","iš centro",54.67424,25.26792,https://www.stops.lt/vilnius/index.html#stop/0512,,
5649,0514,"Vytenio st.","iš centro",54.67185,25.26233,https://www.stops.lt/vilnius/index.html#stop/0514,,
6852,0513,"Vytenio st.","link centro",54.67342,25.26607,https://www.stops.lt/vilnius/index.html#stop/0513,,
