Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS,
Troleibusai,17,22597421616,1702,25279222,54690179,0,118,976,153,59543,KZ,B>A,Žirmūnai,T17-04-7-240902-ba-1620,
Troleibusai,17,22597431626,1738,25304733,54710844,18,180,986,-45,59550,KWNZ,A>B,Naujininkai,T17-03-7-240902-ab-1630,
Troleibusai,17,22597441602,1592,25265589,54680844,0,158,962,103,59542,,A>B,Naujininkai,T17-02-7-240902-ab-1600,
Troleibusai,17,22597451618,1630,25304166,54703365,28,186,978,255,59545,,A>B,Naujininkai,T17-05-7-240902-ab-1620,
Troleibusai,17,22597461626,1730,25267121,54678837,14,346,986,51,59542,KWNZ,B>A,Žirmūnai,T17-06-7-240902-ba-1630,
Troleibusai,17,22597471609,1709,25270551,54691495,0,220,969,8,59547,KZ,A>B,Naujininkai,T17-09-7-240902-ab-1610,
Troleibusai,17,22597481557,1728,25298241,54722871,16,308,957,165,59550,KWNZ,B>A,Žirmūnai,T17-08-7-240902-ba-1600,
Troleibusai,17,22597491550,1833,25274100,54663012,0,202,950,0,59550,KWNZ,A>B,Naujininkai,T17-10-7-240902-ba-1640,
Troleibusai,18,22597691626,2754,25210957,54646644,0,48,986,0,59545,KZ,B>A,Pašilaičiai,T18-02-7-240902-ba-1630,
Troleibusai,18,22597701607,2748,25221292,54697588,0,26,967,-7,59551,KWNZ,B>A,Pašilaičiai,T18-01-7-240902-ba-1610,
Troleibusai,18,22597711544,2753,25218950,54734866,0,138,944,0,59550,KWNZ,B>A,Pašilaičiai,T18-03-7-240902-ab-1640,
Troleibusai,18,22597721609,2786,25229581,54670364,40,112,969,-100,59546,KWNZ,A>B,Titnago g.,T18-04-7-240902-ab-1610,
Troleibusai,20,22598071628,1535,25283431,54675431,0,312,988,47,59539,,B>A,Žirmūnai,T20-01-6-240902-ba-1630,
Troleibusai,20,22598081623,1722,25304360,54706018,0,186,983,6,59543,KWNZ,A>B,Stotis,T20-02-6-240902-ab-1620,
Troleibusai,20,22598091559,1727,25296592,54726624,12,274,959,0,59551,KWNZ,B>A,Žirmūnai,T20-03-6-240902-ab-1650,
Autobusai,1,22598151606,7015,25283205,54670728,0,224,966,0,59550,KWZ,B>A,Stotis,A1-01-6-240829-ab-1640,
Autobusai,1,22598161605,7040,25278028,54632452,0,88,965,0,59548,KWZ,A>B,Rodūnios sodai,A1-02-6-240829-ba-1640,
Autobusai,13,22604701616,7019,25294323,54674943,36,80,976,-82,59540,KWZ,B>A,Žemasis Pavilnys,A13-01-6-240902-ba-1620,
Autobusai,13,22604711625,7037,25315924,54675237,25,250,985,-9,59549,KWZ,A>B,Vilkpėdė,A13-02-6-240902-ab-1630,
Autobusai,14,22604761611,7043,25414582,54675822,20,10,971,4,59547,KWZ,A>B,Arimų g.,A14-01-6-240902-ab-1610,
Autobusai,14,22604771627,7030,25417570,54695695,33,256,987,-64,59541,KWZ,B>A,Rudamina,A14-02-6-240902-ba-1630,
Autobusai,20,22604871617,7022,25134889,54643256,26,356,977,98,59545,KWZ,A>B,Lazdynai,A20-01-6-240902-ab-1620,
Autobusai,20,22604881613,7070,25142816,54645574,27,284,973,-2,59540,KWNZ,B1>A1,Žemieji Paneriai,A20-02-6-240902-b1a1-1610,
Autobusai,28,22604961630,7050,25191063,54639196,68,244,990,62,59544,KWZ,A>B,Valai,A28-01-6-240902-ab-1630,
Autobusai,28,22604971557,7004,25063618,54699995,0,90,957,0,59551,KWZ,A>B,Valai,A28-02-6-240902-ba-1630,
Autobusai,38,22605011600,7025,25427961,54749982,0,184,960,0,59549,KWZ,A1>B1,Šilėnų g.,A38-01-6-240902-b1a1-1640,
Autobusai,41,22605041620,7055,25270569,54669530,42,348,980,-37,59546,KWZ,B>A,Stotis,A41-01-6-240902-ba-1620,
Autobusai,61,22605331632,7011,25283652,54670903,20,234,992,11,59549,KWZ,A>B,Kuprioniškės,A61-01-6-240902-ab-1630,
Autobusai,61,22605341631,7005,25334453,54644210,33,28,991,43,59549,KWZ,B>A,Stotis,A61-02-6-240902-ba-1630,
Autobusai,62,22605371630,7023,25192238,54639608,56,240,990,56,59551,KWZ,A>B,Lazdynai,A62-01-6-240902-ab-1630,
Autobusai,114,22605461600,7059,25307227,54723519,0,222,960,65,59515,KWZ,B>A,Šiaurės miestelis,A114-01-6-240902-ba-1600,
Autobusai,114,22605471606,7007,25374585,54729215,14,58,966,-4,59546,KWZ,A>B,Vinciūniškės,A114-02-6-240902-ab-1610,
Autobusai,2,22612491602,4501,25285182,54671129,0,242,962,0,59539,KWNZ,B>A,Stotis,A2-01-7-240902-ab-1640,
Autobusai,3,22612551541,989,25175785,54595777,0,70,941,0,59533,Z,A>B,Vaidotai,A3-01-7-240902-ba-1630,
Autobusai,4,22612581627,4124,25271780,54672242,35,256,987,58,59544,KWNZ,A>B,Kirtimai,A4-01-6-240902-ab-1630,
Autobusai,5G,22612811619,4591,25296565,54717781,0,240,979,60,59546,KWNZD,B>A,Pašilaičiai,A5G-01-7-240902-ba-1620,
Autobusai,5G,22612821629,4564,25220365,54724435,48,154,989,-2,59547,KWNZD,A>B,Saulėtekis,A5G-06-7-240902-ab-1630,
Autobusai,5G,22612831616,4567,25258201,54711259,0,56,976,51,59545,KWNZD,A>B,Saulėtekis,A5G-04-7-240902-ab-1620,
Autobusai,5G,22612841556,4596,25340857,54724813,0,192,956,0,59544,KWNZD,A>B,Saulėtekis,A5G-02-7-240902-ba-1640,
Autobusai,5G,22612851604,4599,25320054,54722793,8,40,964,17,59550,KZ,A>B,Saulėtekis,A5G-03-7-240902-ab-1600,
